iter	Passed	Remaining
0	5	16467
1	9	14741
2	13	13830
3	17	13481
4	21	13176
5	26	12992
6	30	12966
7	34	12765
8	38	12657
9	42	12583
10	46	12589
11	51	12796
12	55	12778
13	60	12950
14	65	12993
15	68	12795
16	72	12761
17	76	12676
18	80	12607
19	85	12698
20	88	12619
21	92	12546
22	96	12452
23	100	12496
24	105	12539
25	109	12510
26	113	12540
27	118	12613
28	123	12698
29	128	12752
30	134	12853
31	138	12886
32	144	12956
33	148	12970
34	152	12945
35	156	12846
36	159	12746
37	162	12655
38	165	12598
39	169	12547
40	172	12470
41	175	12375
42	179	12364
43	182	12276
44	185	12200
45	189	12147
46	192	12081
47	195	12035
48	198	11980
49	202	11926
50	206	11925
51	211	11974
52	216	12051
53	222	12144
54	228	12256
55	237	12461
56	245	12684
57	256	13015
58	261	13049
59	266	13038
60	270	13048
61	276	13119
62	281	13127
63	286	13139
64	291	13152
65	295	13148
66	300	13172
67	304	13129
68	309	13165
69	312	13098
70	317	13081
71	321	13071
72	325	13044
73	328	13005
74	332	12979
75	336	12965
76	340	12925
77	345	12936
78	349	12922
79	353	12895
80	356	12863
81	361	12859
82	365	12858
83	369	12816
84	374	12832
85	378	12819
86	383	12830
87	386	12798
88	394	12894
89	398	12887
90	402	12862
91	405	12832
92	409	12795
93	412	12759
94	416	12740
95	420	12720
96	427	12802
97	446	13226
98	452	13266
99	499	14480
100	508	14608
101	514	14622
102	519	14623
103	531	14804
104	536	14802
105	541	14797
106	546	14764
107	550	14737
108	555	14734
109	560	14718
110	564	14695
111	568	14665
112	572	14638
113	576	14592
114	580	14566
115	584	14536
116	588	14494
117	593	14490
118	597	14466
119	601	14439
120	606	14429
121	610	14403
122	613	14355
123	617	14310
124	620	14271
125	624	14236
126	629	14233
127	632	14191
128	639	14231
129	650	14356
130	658	14426
131	665	14455
132	672	14492
133	678	14504
134	686	14561
135	691	14562
136	697	14584
137	703	14584
138	710	14613
139	716	14631
140	722	14645
141	726	14627
142	734	14683
143	740	14678
144	746	14698
145	753	14729
146	758	14712
147	763	14720
148	769	14732
149	775	14735
150	781	14752
151	787	14747
152	791	14733
153	795	14709
154	800	14686
155	804	14667
156	809	14650
157	813	14626
158	817	14603
159	823	14615
160	829	14620
161	836	14648
162	841	14638
163	847	14653
164	851	14637
165	859	14669
166	863	14653
167	868	14634
168	872	14620
169	876	14593
170	880	14566
171	885	14565
172	890	14551
173	896	14558
174	900	14535
175	905	14523
176	908	14495
177	914	14494
178	918	14476
179	923	14461
180	928	14460
181	932	14438
182	938	14439
183	942	14418
184	946	14399
185	949	14372
186	953	14349
187	957	14321
188	961	14299
189	964	14266
190	968	14249
191	972	14228
192	976	14197
193	980	14189
194	986	14186
195	990	14163
196	993	14138
197	1132	16019
198	1149	16176
199	1159	16238
200	1171	16308
201	1182	16383
202	1189	16382
203	1195	16391
204	1204	16418
205	1209	16401
206	1214	16392
207	1219	16366
208	1223	16333
209	1227	16314
210	1232	16284
211	1235	16249
212	1238	16208
213	1242	16179
214	1246	16148
215	1251	16125
216	1254	16085
217	1257	16050
218	1261	16013
219	1266	16005
220	1270	15973
221	1273	15940
222	1277	15914
223	1283	15907
224	1287	15881
225	1292	15869
226	1297	15853
227	1302	15839
228	1307	15824
229	1313	15818
230	1318	15801
231	1322	15781
232	1326	15747
233	1331	15736
234	1334	15704
235	1338	15678
236	1342	15647
237	1345	15619
238	1351	15615
239	1355	15584
240	1358	15557
241	1362	15531
242	1366	15502
243	1370	15476
244	1373	15445
245	1377	15421
246	1381	15393
247	1385	15373
248	1389	15354
249	1393	15327
250	1397	15304
251	1401	15284
252	1405	15263
253	1410	15246
254	1416	15245
255	1422	15250
256	1429	15252
257	1435	15256
258	1442	15263
259	1448	15263
260	1454	15267
261	1461	15269
262	1467	15267
263	1471	15245
264	1475	15230
265	1479	15211
266	1485	15204
267	1490	15192
268	1493	15163
269	1496	15133
270	1499	15104
271	1504	15090
272	1508	15066
273	1511	15038
274	1514	15006
275	1519	14991
276	1522	14962
277	1525	14933
278	1528	14908
279	1531	14876
280	1534	14845
281	1538	14828
282	1541	14796
283	1544	14768
284	1546	14736
285	1550	14717
286	1553	14686
287	1556	14658
288	1560	14642
289	1564	14616
290	1566	14585
291	1569	14556
292	1573	14534
293	1575	14504
294	1578	14475
295	1581	14447
296	1584	14418
297	1587	14394
298	1591	14372
