from,to,distance_km
AB,AB,0
AB,AL,873
AB,B,681
AB,BA,1017
AB,BB,534
AB,BD,601
AB,BH,991
AB,BL,547
AB,BN,926
AB,BR,866
AB,BS,
AB,BT,
AB,CA,413
AB,CB,934
AB,CF,819
AB,CH,586
AB,CM,893
AB,CO,932
AB,CR,864
AB,CT,954
AB,CV,780
AB,CW,596
AB,DA,877
AB,DD,115
AB,DE,699
AB,DG,423
AB,DH,432
AB,DL,468
AB,DN,591
AB,DT,1117
AB,DY,671
AB,E,851
AB,EC,844
AB,EH,210
AB,EN,858
AB,EX,976
AB,FK,201
AB,FY,542
AB,G,248
AB,GL,
AB,GU,893
AB,HA,863
AB,HD,607
AB,HG,571
AB,HP,882
AB,HR,731
AB,HS,
AB,HU,622
AB,HX,586
AB,IG,857
AB,IP,956
AB,IV,174
AB,KA,288
AB,KT,866
AB,KW,251
AB,KY,168
AB,L,571
AB,LA,525
AB,LD,766
AB,LE,803
AB,LL,667
AB,LN,650
AB,LS,579
AB,LU,890
AB,M,567
AB,ME,894
AB,MK,782
AB,ML,271
AB,N,848
AB,NE,410
AB,NG,686
AB,NN,760
AB,NP,800
AB,NR,884
AB,NW,848
AB,OL,632
AB,OX,795
AB,PA,260
AB,PE,719
AB,PH,148
AB,PL,1060
AB,PO,1003
AB,PR,558
AB,RG,903
AB,RH,880
AB,RM,865
AB,S,640
AB,SA,922
AB,SE,853
AB,SG,797
AB,SK,636
AB,SL,875
AB,SM,866
AB,SN,970
AB,SO,945
AB,SP,979
AB,SR,429
AB,SS,903
AB,ST,620
AB,SW,853
AB,SY,649
AB,TA,927
AB,TD,257
AB,TF,685
AB,TN,892
AB,TQ,1018
AB,TR,1160
AB,TS,490
AB,TW,864
AB,UB,860
AB,W,847
AB,WA,557
AB,WC,844
AB,WD,871
AB,WF,596
AB,WN,538
AB,WR,726
AB,WS,671
AB,WV,660
AB,YO,538
AB,ZE,438
AL,AB,873
AL,AL,0
AL,B,191
AL,BA,208
AL,BB,388
AL,BD,353
AL,BH,208
AL,BL,346
AL,BN,118
AL,BR,53
AL,BS,226
AL,BT,
AL,CA,514
AL,CB,125
AL,CF,269
AL,CH,321
AL,CM,84
AL,CO,123
AL,CR,54
AL,CT,145
AL,CV,184
AL,CW,287
AL,DA,67
AL,DD,759
AL,DE,238
AL,DG,567
AL,DH,441
AL,DL,406
AL,DN,283
AL,DT,252
AL,DY,180
AL,E,42
AL,EC,35
AL,EH,664
AL,EN,38
AL,EX,315
AL,FK,726
AL,FY,397
AL,G,678
AL,GL,215
AL,GU,84
AL,HA,40
AL,HD,404
AL,HG,368
AL,HP,23
AL,HR,277
AL,HS,
AL,HU,348
AL,HX,385
AL,IG,48
AL,IP,146
AL,IV,941
AL,KA,717
AL,KT,55
AL,KW,1055
AL,KY,705
AL,L,344
AL,LA,403
AL,LD,424
AL,LE,127
AL,LL,397
AL,LN,252
AL,LS,331
AL,LU,17
AL,M,328
AL,ME,85
AL,MK,113
AL,ML,658
AL,N,30
AL,NE,464
AL,NG,171
AL,NN,139
AL,NP,251
AL,NR,221
AL,NW,26
AL,OL,343
AL,OX,138
AL,PA,690
AL,PE,155
AL,PH,755
AL,PL,427
AL,PO,182
AL,PR,369
AL,RG,94
AL,RH,70
AL,RM,56
AL,S,233
AL,SA,338
AL,SE,43
AL,SG,87
AL,SK,319
AL,SL,61
AL,SM,61
AL,SN,160
AL,SO,161
AL,SP,170
AL,SR,483
AL,SS,94
AL,ST,267
AL,SW,44
AL,SY,340
AL,TA,265
AL,TD,711
AL,TF,237
AL,TN,82
AL,TQ,357
AL,TR,479
AL,TS,437
AL,TW,42
AL,UB,46
AL,W,38
AL,WA,326
AL,WC,35
AL,WD,19
AL,WF,315
AL,WN,345
AL,WR,230
AL,WS,232
AL,WV,235
AL,YO,335
AL,ZE,1242
B,AB,730
B,AL,191
B,B,0
B,BA,163
B,BB,186
B,BD,201
B,BH,280
B,BL,150
B,BN,269
B,BR,205
B,BS,145
B,BT,
B,CA,312
B,CB,275
B,CF,174
B,CH,119
B,CM,234
B,CO,273
B,CR,203
B,CT,295
B,CV,30
B,CW,85
B,DA,216
B,DD,566
B,DE,66
B,DG,365
B,DH,330
B,DL,297
B,DN,155
B,DT,273
B,DY,15
B,E,192
B,EC,189
B,EH,475
B,EN,199
B,EX,266
B,FK,535
B,FY,195
B,G,476
B,GL,84
B,GU,200
B,HA,164
B,HD,213
B,HG,212
B,HP,142
B,HR,88
B,HS,
B,HU,217
B,HX,214
B,IG,198
B,IP,297
B,IV,752
B,KA,526
B,KT,203
B,KW,855
B,KY,513
B,L,142
B,LA,201
B,LD,152
B,LE,64
B,LL,195
B,LN,200
B,LS,182
B,LU,178
B,M,132
B,ME,235
B,MK,105
B,ML,466
B,N,194
B,NE,352
B,NG,108
B,NN,79
B,NP,155
B,NR,310
B,NW,229
B,OL,145
B,OX,114
B,PA,488
B,PE,148
B,PH,562
B,PL,349
B,PO,267
B,PR,167
B,RG,158
B,RH,220
B,RM,206
B,S,122
B,SA,262
B,SE,193
B,SG,227
B,SK,123
B,SL,186
B,SM,205
B,SN,143
B,SO,269
B,SP,229
B,SR,374
B,SS,248
B,ST,71
B,SW,195
B,SY,68
B,TA,216
B,TD,522
B,TF,46
B,TN,231
B,TQ,308
B,TR,435
B,TS,327
B,TW,204
B,UB,195
B,W,181
B,WA,153
B,WC,189
B,WD,153
B,WF,166
B,WN,142
B,WR,42
B,WS,18
B,WV,21
B,YO,226
B,ZE,1042
BA,AB,861
BA,AL,211
BA,B,163
BA,BA,0
BA,BB,349
BA,BD,364
BA,BH,236
BA,BL,363
BA,BN,258
BA,BR,196
BA,BS,19
BA,BT,
BA,CA,475
BA,CB,269
BA,CF,80
BA,CH,282
BA,CM,227
BA,CO,266
BA,CR,195
BA,CT,289
BA,CV,194
BA,CW,248
BA,DA,210
BA,DD,729
BA,DE,229
BA,DG,528
BA,DH,585
BA,DL,460
BA,DN,318
BA,DT,110
BA,DY,178
BA,E,185
BA,EC,178
BA,EH,638
BA,EN,194
BA,EX,140
BA,FK,869
BA,FY,358
BA,G,639
BA,GL,82
BA,GU,156
BA,HA,187
BA,HD,376
BA,HG,512
BA,HP,214
BA,HR,131
BA,HS,
BA,HU,380
BA,HX,377
BA,IG,191
BA,IP,290
BA,IV,915
BA,KA,860
BA,KT,190
BA,KW,1045
BA,KY,676
BA,L,305
BA,LA,364
BA,LD,232
BA,LE,227
BA,LL,358
BA,LN,396
BA,LS,346
BA,LU,224
BA,M,297
BA,ME,228
BA,MK,255
BA,ML,619
BA,N,185
BA,NE,608
BA,NG,271
BA,NN,243
BA,NP,61
BA,NR,379
BA,NW,178
BA,OL,335
BA,OX,103
BA,PA,651
BA,PE,299
BA,PH,726
BA,PL,223
BA,PO,139
BA,PR,330
BA,RG,114
BA,RH,188
BA,RM,199
BA,S,285
BA,SA,155
BA,SE,187
BA,SG,234
BA,SK,306
BA,SL,142
BA,SM,198
BA,SN,48
BA,SO,106
BA,SP,66
BA,SR,538
BA,SS,237
BA,ST,235
BA,SW,184
BA,SY,213
BA,TA,92
BA,TD,855
BA,TF,209
BA,TN,224
BA,TQ,182
BA,TR,309
BA,TS,491
BA,TW,166
BA,UB,186
BA,W,173
BA,WA,317
BA,WC,177
BA,WD,203
BA,WF,329
BA,WN,306
BA,WR,128
BA,WS,181
BA,WV,184
BA,YO,389
BA,ZE,1233
BB,AB,534
BB,AL,412
BB,B,172
BB,BA,349
BB,BB,0
BB,BD,65
BB,BH,467
BB,BL,22
BB,BN,422
BB,BR,402
BB,BS,331
BB,BT,
BB,CA,164
BB,CB,329
BB,CF,313
BB,CH,103
BB,CM,388
BB,CO,447
BB,CR,377
BB,CT,469
BB,CV,217
BB,CW,101
BB,DA,372
BB,DD,469
BB,DE,253
BB,DG,218
BB,DH,228
BB,DL,193
BB,DN,129
BB,DT,578
BB,DY,188
BB,E,389
BB,EC,359
BB,EH,328
BB,EN,366
BB,EX,452
BB,FK,377
BB,FY,48
BB,G,329
BB,GL,270
BB,GU,388
BB,HA,374
BB,HD,81
BB,HG,110
BB,HP,395
BB,HR,236
BB,HS,
BB,HU,164
BB,HX,52
BB,IG,395
BB,IP,471
BB,IV,605
BB,KA,368
BB,KT,404
BB,KW,780
BB,KY,365
BB,L,76
BB,LA,53
BB,LD,308
BB,LE,214
BB,LL,180
BB,LN,213
BB,LS,81
BB,LU,428
BB,M,39
BB,ME,409
BB,MK,255
BB,ML,308
BB,N,364
BB,NE,263
BB,NG,174
BB,NN,281
BB,NP,294
BB,NR,392
BB,NW,363
BB,OL,59
BB,OX,287
BB,PA,341
BB,PE,266
BB,PH,436
BB,PL,536
BB,PO,505
BB,PR,19
BB,RG,331
BB,RH,376
BB,RM,403
BB,S,141
BB,SA,398
BB,SE,391
BB,SG,335
BB,SK,50
BB,SL,413
BB,SM,404
BB,SN,463
BB,SO,487
BB,SP,494
BB,SR,270
BB,SS,418
BB,ST,101
BB,SW,369
BB,SY,143
BB,TA,403
BB,TD,375
BB,TF,215
BB,TN,406
BB,TQ,494
BB,TR,621
BB,TS,221
BB,TW,402
BB,UB,374
BB,W,360
BB,WA,63
BB,WC,359
BB,WD,383
BB,WF,97
BB,WN,44
BB,WR,214
BB,WS,204
BB,WV,201
BB,YO,122
BB,ZE,968
BD,AB,595
BD,AL,346
BD,B,203
BD,BA,496
BD,BB,65
BD,BD,0
BD,BH,497
BD,BL,82
BD,BN,407
BD,BR,337
BD,BS,345
BD,BT,
BD,CA,230
BD,CB,264
BD,CF,372
BD,CH,128
BD,CM,372
BD,CO,411
BD,CR,339
BD,CT,434
BD,CV,228
BD,CW,167
BD,DA,356
BD,DD,480
BD,DE,135
BD,DG,283
BD,DH,163
BD,DL,127
BD,DN,64
BD,DT,542
BD,DY,213
BD,E,324
BD,EC,317
BD,EH,393
BD,EN,301
BD,EX,464
BD,FK,444
BD,FY,113
BD,G,394
BD,GL,285
BD,GU,374
BD,HA,334
BD,HD,30
BD,HG,45
BD,HP,355
BD,HR,301
BD,HS,
BD,HU,98
BD,HX,13
BD,IG,330
BD,IP,435
BD,IV,670
BD,KA,467
BD,KT,339
BD,KW,789
BD,KY,427
BD,L,116
BD,LA,119
BD,LD,328
BD,LE,182
BD,LL,205
BD,LN,148
BD,LS,15
BD,LU,363
BD,M,65
BD,ME,373
BD,MK,286
BD,ML,312
BD,N,322
BD,NE,185
BD,NG,141
BD,NN,280
BD,NP,353
BD,NR,333
BD,NW,321
BD,OL,60
BD,OX,427
BD,PA,406
BD,PE,243
BD,PH,477
BD,PL,556
BD,PO,463
BD,PR,85
BD,RG,376
BD,RH,362
BD,RM,338
BD,S,76
BD,SA,469
BD,SE,326
BD,SG,270
BD,SK,135
BD,SL,348
BD,SM,339
BD,SN,344
BD,SO,445
BD,SP,453
BD,SR,205
BD,SS,382
BD,ST,144
BD,SW,326
BD,SY,173
BD,TA,414
BD,TD,432
BD,TF,246
BD,TN,371
BD,TQ,515
BD,TR,636
BD,TS,158
BD,TW,337
BD,UB,333
BD,W,320
BD,WA,128
BD,WC,317
BD,WD,344
BD,WF,38
BD,WN,94
BD,WR,243
BD,WS,216
BD,WV,182
BD,YO,57
BD,ZE,977
BH,AB,1019
BH,AL,209
BH,B,280
BH,BA,152
BH,BB,533
BH,BD,497
BH,BH,0
BH,BL,431
BH,BN,146
BH,BR,189
BH,BS,170
BH,BT,
BH,CA,659
BH,CB,270
BH,CF,297
BH,CH,399
BH,CM,229
BH,CO,268
BH,CR,180
BH,CT,291
BH,CV,250
BH,CW,432
BH,DA,208
BH,DD,903
BH,DE,385
BH,DG,645
BH,DH,586
BH,DL,550
BH,DN,427
BH,DT,45
BH,DY,295
BH,E,190
BH,EC,177
BH,EH,755
BH,EN,193
BH,EX,228
BH,FK,871
BH,FY,542
BH,G,757
BH,GL,247
BH,GU,144
BH,HA,195
BH,HD,503
BH,HG,512
BH,HP,217
BH,HR,348
BH,HS,
BH,HU,493
BH,HX,504
BH,IG,193
BH,IP,291
BH,IV,1103
BH,KA,862
BH,KT,180
BH,KW,1194
BH,KY,850
BH,L,422
BH,LA,547
